Original ID ,Code,Mapped ID
Aruba,ABW,Aruba_Netherlands
AmericanSamoa,ASM,AmericanSamoa_UnitedStates
"Bahamas,The",BHS,Bahamas
BruneiDarussalam,BRN,Brunei
Channel Islands,CHI,ChannelIslands_UnitedKingdom
"Congo,Dem.Rep.",COD,Congo(Kinshasa)
"Congo,Rep.",COG,Congo(Brazzaville)
Curacao,CUW,Curacao_Netherlands
CaymanIslands,CYM,CaymanIslands_UnitedKingdom
CzechRepublic,CZE,Czechia
"Egypt,ArabRep.",EGY,Egypt
FaroeIslands,FRO,FaroeIslands_Denmark
Gibraltar,GIB,Gibraltar_UnitedKingdom
"Gambia,The",GMB,Gambia
Greenland,GRL,Greenland_Denmark
Guam,GUM,Guam_UnitedStates
"HongKongSAR,China",HKG,Hong Kong_China
IsleofMan,IMN,IsleofMan_UnitedKingdom
"Iran,IslamicRep.",IRN,Iran
KyrgyzRepublic,KGZ,Kyrgyzstan
St.KittsandNevis,KNA,SaintKittsandNevis
"Korea,Rep.",KOR,KoreaSouth
St.Lucia,LCA,SaintLucia
"MacaoSAR,China",MAC,Macau_China
St.Martin(French part),MAF,StMartin_France
NorthernMarianaIslands,MNP,NorthernMarianaIslands_UnitedStates
NewCaledonia,NCL,NewCaledonia_France
PuertoRico,PRI,PuertoRico_UnitedStates
"Korea,Dem.People’sRep.",PRK,KoreaNorth
FrenchPolynesia,PYF,FrenchPolynesia_France
RussianFederation,RUS,Russia
SlovakRepublic,SVK,Slovakia
SintMaarten(Dutchpart),SXM,SintMaarten_Netherlands
SyrianArabRepublic,SYR,Syria
TurksandCaicosIslands,TCA,TurksandCaicosIslands_UnitedKingdom
St.VincentandtheGrenadines,VCT,SaintVincentandtheGrenadines
"Venezuela,RB",VEN,Venezuela
BritishVirginIslands,VGB,BritishVirginIslands_UnitedKingdom
VirginIslands(U.S.),VIR,VirginIslands_UnitedStates
"Yemen,Rep.",YEM,Yemen